rating_id,constituent_id,category,source,value,value_type,date
139,57,Real Estate,DonorSearch,"$450,000",Currency,2025-09-15
140,58,Real Estate,WealthEngine,"$1,000,000",Currency,2026-02-18
141,58,Likelihood to Give,WealthEngine,79%,Percent,2025-02-16
142,58,Estimated Capacity,WealthEngine,"$120,000",Currency,2024-09-01
143,59,Likelihood to Give,DonorSearch,89%,Percent,2025-06-21
144,59,Estimated Capacity,DonorSearch,"$110,000",Currency,2025-03-19
145,59,Real Estate,DonorSearch,"$2,250,000",Currency,2025-02-17
146,60,Estimated Capacity,iWave,"$90,000",Currency,2024-12-11
147,60,Likelihood to Give,iWave,80%,Percent,2025-05-13
148,60,Real Estate,iWave,"$3,400,000",Currency,2025-11-04
149,61,Likelihood to Give,iWave,85%,Percent,2026-01-27
150,61,Estimated Capacity,iWave,"$50,000",Currency,2025-02-08
151,62,Estimated Capacity,WealthEngine,"$660,000",Currency,2025-03-30
152,62,Likelihood to Give,WealthEngine,60%,Percent,2025-01-12
153,63,Likelihood to Give,Blackbaud Target Analytics,70%,Percent,2026-01-29
154,63,Real Estate,Blackbaud Target Analytics,"$3,050,000",Currency,2026-04-03
155,63,Estimated Capacity,Blackbaud Target Analytics,"$1,200,000",Currency,2026-02-28
156,64,Real Estate,Blackbaud Target Analytics,"$350,000",Currency,2024-06-24
157,64,Estimated Capacity,Blackbaud Target Analytics,"$290,000",Currency,2026-03-22
158,65,Real Estate,iWave,"$700,000",Currency,2025-08-21
159,65,Estimated Capacity,iWave,"$50,000",Currency,2024-06-06
160,66,Real Estate,iWave,"$2,500,000",Currency,2025-11-02
161,66,Likelihood to Give,iWave,29%,Percent,2025-12-26
162,66,Estimated Capacity,iWave,"$120,000",Currency,2025-11-06
163,67,Likelihood to Give,DonorSearch,52%,Percent,2025-03-12
164,67,Real Estate,DonorSearch,"$2,450,000",Currency,2026-02-04
165,68,Real Estate,iWave,"$2,500,000",Currency,2024-05-22
166,68,Likelihood to Give,iWave,42%,Percent,2025-12-20
167,69,Real Estate,Blackbaud Target Analytics,"$2,650,000",Currency,2024-11-20
168,69,Likelihood to Give,Blackbaud Target Analytics,66%,Percent,2026-04-10
169,69,Estimated Capacity,Blackbaud Target Analytics,"$100,000",Currency,2024-12-07
170,70,Real Estate,Blackbaud Target Analytics,"$3,000,000",Currency,2025-10-24
171,70,Estimated Capacity,Blackbaud Target Analytics,"$310,000",Currency,2024-06-25
172,70,Likelihood to Give,Blackbaud Target Analytics,50%,Percent,2024-10-18
173,71,Real Estate,WealthEngine,"$3,350,000",Currency,2025-08-14
174,71,Likelihood to Give,WealthEngine,57%,Percent,2026-01-24
175,71,Estimated Capacity,WealthEngine,"$130,000",Currency,2025-01-16
176,72,Likelihood to Give,WealthEngine,31%,Percent,2025-05-25
177,72,Estimated Capacity,WealthEngine,"$60,000",Currency,2024-12-09
178,72,Real Estate,WealthEngine,"$1,500,000",Currency,2025-08-01
179,73,Real Estate,Blackbaud Target Analytics,"$1,100,000",Currency,2026-01-25
180,73,Estimated Capacity,Blackbaud Target Analytics,"$80,000",Currency,2025-03-02
181,74,Real Estate,iWave,"$550,000",Currency,2026-04-05
182,74,Likelihood to Give,iWave,80%,Percent,2025-09-08
183,74,Estimated Capacity,iWave,"$60,000",Currency,2025-08-16
184,75,Real Estate,Blackbaud Target Analytics,"$1,450,000",Currency,2024-10-06
185,75,Likelihood to Give,Blackbaud Target Analytics,73%,Percent,2025-01-13
186,75,Estimated Capacity,Blackbaud Target Analytics,"$600,000",Currency,2025-06-13
187,76,Likelihood to Give,DonorSearch,31%,Percent,2024-10-21
188,76,Estimated Capacity,DonorSearch,"$130,000",Currency,2025-10-08
189,77,Real Estate,WealthEngine,"$1,350,000",Currency,2025-10-06
190,77,Likelihood to Give,WealthEngine,66%,Percent,2025-04-18
191,77,Estimated Capacity,WealthEngine,"$210,000",Currency,2025-06-17
192,78,Estimated Capacity,iWave,"$3,480,000",Currency,2025-12-14
193,78,Real Estate,iWave,"$600,000",Currency,2024-12-06
194,78,Likelihood to Give,iWave,58%,Percent,2026-04-10
195,79,Likelihood to Give,WealthEngine,73%,Percent,2026-03-01
196,79,Real Estate,WealthEngine,"$650,000",Currency,2024-12-19
197,79,Estimated Capacity,WealthEngine,"$170,000",Currency,2026-02-15
198,80,Estimated Capacity,DonorSearch,"$290,000",Currency,2024-09-23
199,80,Real Estate,DonorSearch,"$4,000,000",Currency,2026-01-25
200,81,Real Estate,DonorSearch,"$3,650,000",Currency,2025-01-16
201,81,Estimated Capacity,DonorSearch,"$110,000",Currency,2025-06-22
202,81,Likelihood to Give,DonorSearch,74%,Percent,2025-02-07
203,82,Estimated Capacity,DonorSearch,"$90,000",Currency,2025-07-26
204,82,Real Estate,DonorSearch,"$1,100,000",Currency,2025-11-13
205,83,Estimated Capacity,DonorSearch,"$480,000",Currency,2025-01-16
206,83,Likelihood to Give,DonorSearch,58%,Percent,2024-12-27
207,84,Likelihood to Give,DonorSearch,24%,Percent,2025-01-13
208,84,Real Estate,DonorSearch,"$3,700,000",Currency,2025-08-26
209,85,Estimated Capacity,iWave,"$110,000",Currency,2025-07-24
210,85,Real Estate,iWave,"$450,000",Currency,2026-02-08
211,85,Likelihood to Give,iWave,58%,Percent,2025-06-12
212,86,Likelihood to Give,WealthEngine,57%,Percent,2025-03-06
213,86,Real Estate,WealthEngine,"$2,250,000",Currency,2024-11-26
214,87,Real Estate,WealthEngine,"$3,000,000",Currency,2025-02-04
215,87,Estimated Capacity,WealthEngine,"$600,000",Currency,2024-08-12
216,88,Real Estate,DonorSearch,"$3,300,000",Currency,2024-06-03
217,88,Estimated Capacity,DonorSearch,"$430,000",Currency,2024-09-09
218,89,Real Estate,iWave,"$4,000,000",Currency,2025-10-19
219,89,Likelihood to Give,iWave,71%,Percent,2025-01-31
220,89,Estimated Capacity,iWave,"$80,000",Currency,2026-01-19
221,90,Likelihood to Give,WealthEngine,23%,Percent,2025-05-20
222,90,Estimated Capacity,WealthEngine,"$140,000",Currency,2024-12-01
223,90,Real Estate,WealthEngine,"$3,300,000",Currency,2025-03-08
224,91,Estimated Capacity,DonorSearch,"$250,000",Currency,2025-05-26
225,91,Likelihood to Give,DonorSearch,72%,Percent,2025-03-05
226,91,Real Estate,DonorSearch,"$2,700,000",Currency,2026-04-21
227,92,Estimated Capacity,WealthEngine,"$500,000",Currency,2024-07-24
228,92,Real Estate,WealthEngine,"$1,900,000",Currency,2024-07-21
229,92,Likelihood to Give,WealthEngine,16%,Percent,2026-03-01
230,93,Likelihood to Give,Blackbaud Target Analytics,47%,Percent,2024-12-12
231,93,Real Estate,Blackbaud Target Analytics,"$3,900,000",Currency,2026-03-24
232,94,Likelihood to Give,iWave,66%,Percent,2024-10-04
233,94,Estimated Capacity,iWave,"$1,740,000",Currency,2026-01-17
234,95,Estimated Capacity,DonorSearch,"$400,000",Currency,2025-06-28
235,95,Real Estate,DonorSearch,"$1,800,000",Currency,2025-07-17
236,95,Likelihood to Give,DonorSearch,70%,Percent,2024-12-14
237,96,Real Estate,iWave,"$3,700,000",Currency,2025-10-09
238,96,Estimated Capacity,iWave,"$3,930,000",Currency,2024-11-18
239,96,Likelihood to Give,iWave,44%,Percent,2025-12-04
240,97,Likelihood to Give,Blackbaud Target Analytics,59%,Percent,2025-07-07
241,97,Real Estate,Blackbaud Target Analytics,"$2,400,000",Currency,2024-08-29
242,97,Estimated Capacity,Blackbaud Target Analytics,"$190,000",Currency,2024-06-16
243,98,Real Estate,iWave,"$2,300,000",Currency,2025-05-17
244,98,Likelihood to Give,iWave,77%,Percent,2024-10-13
245,98,Estimated Capacity,iWave,"$110,000",Currency,2025-01-11
246,99,Real Estate,iWave,"$3,450,000",Currency,2025-08-26
247,99,Likelihood to Give,iWave,42%,Percent,2025-02-26
248,100,Real Estate,Blackbaud Target Analytics,"$3,200,000",Currency,2024-06-12
249,100,Likelihood to Give,Blackbaud Target Analytics,29%,Percent,2024-06-24
250,100,Estimated Capacity,Blackbaud Target Analytics,"$4,850,000",Currency,2024-12-01
251,101,Estimated Capacity,iWave,"$4,620,000",Currency,2024-10-31
252,101,Likelihood to Give,iWave,33%,Percent,2026-04-07
253,101,Real Estate,iWave,"$1,750,000",Currency,2025-11-26
254,102,Likelihood to Give,iWave,65%,Percent,2025-05-11
255,102,Real Estate,iWave,"$500,000",Currency,2024-06-26
256,103,Likelihood to Give,Blackbaud Target Analytics,24%,Percent,2024-07-29
257,103,Real Estate,Blackbaud Target Analytics,"$2,600,000",Currency,2025-08-25
258,103,Estimated Capacity,Blackbaud Target Analytics,"$600,000",Currency,2025-07-02
259,104,Estimated Capacity,DonorSearch,"$230,000",Currency,2025-11-03
260,104,Real Estate,DonorSearch,"$350,000",Currency,2026-03-24
261,104,Likelihood to Give,DonorSearch,58%,Percent,2026-02-24
262,105,Likelihood to Give,Blackbaud Target Analytics,66%,Percent,2024-10-26
263,105,Estimated Capacity,Blackbaud Target Analytics,"$470,000",Currency,2024-09-20
264,105,Real Estate,Blackbaud Target Analytics,"$850,000",Currency,2025-10-20
265,106,Real Estate,DonorSearch,"$750,000",Currency,2024-09-02
266,106,Estimated Capacity,DonorSearch,"$90,000",Currency,2025-01-05
267,106,Likelihood to Give,DonorSearch,18%,Percent,2025-01-07
268,107,Likelihood to Give,DonorSearch,62%,Percent,2025-01-25
269,107,Estimated Capacity,DonorSearch,"$150,000",Currency,2024-08-29
270,107,Real Estate,DonorSearch,"$2,800,000",Currency,2025-02-12
271,108,Estimated Capacity,WealthEngine,"$590,000",Currency,2026-01-03
272,108,Likelihood to Give,WealthEngine,62%,Percent,2024-09-14
273,108,Real Estate,WealthEngine,"$1,300,000",Currency,2024-09-11
274,109,Real Estate,Blackbaud Target Analytics,"$250,000",Currency,2025-07-15
275,109,Likelihood to Give,Blackbaud Target Analytics,51%,Percent,2026-03-03
276,110,Real Estate,Blackbaud Target Analytics,"$2,600,000",Currency,2025-09-10
277,110,Likelihood to Give,Blackbaud Target Analytics,36%,Percent,2024-07-26
278,111,Real Estate,iWave,"$3,200,000",Currency,2025-06-10
279,111,Estimated Capacity,iWave,"$430,000",Currency,2026-03-19
280,112,Likelihood to Give,iWave,15%,Percent,2025-02-21
281,112,Real Estate,iWave,"$700,000",Currency,2025-09-29
282,113,Estimated Capacity,Blackbaud Target Analytics,"$240,000",Currency,2025-06-24
283,113,Likelihood to Give,Blackbaud Target Analytics,47%,Percent,2025-05-11
284,113,Real Estate,Blackbaud Target Analytics,"$3,850,000",Currency,2024-12-29
285,114,Real Estate,iWave,"$1,600,000",Currency,2024-09-29
286,114,Likelihood to Give,iWave,40%,Percent,2025-03-14
287,115,Likelihood to Give,Blackbaud Target Analytics,36%,Percent,2024-06-03
288,115,Real Estate,Blackbaud Target Analytics,"$1,650,000",Currency,2024-09-01
289,116,Real Estate,Blackbaud Target Analytics,"$300,000",Currency,2024-12-26
290,116,Estimated Capacity,Blackbaud Target Analytics,"$70,000",Currency,2024-09-25
291,117,Real Estate,iWave,"$2,650,000",Currency,2025-06-17
292,117,Likelihood to Give,iWave,69%,Percent,2025-12-24
293,118,Likelihood to Give,DonorSearch,46%,Percent,2025-12-25
294,118,Real Estate,DonorSearch,"$3,550,000",Currency,2025-08-25
295,119,Likelihood to Give,iWave,33%,Percent,2024-08-29
296,119,Real Estate,iWave,"$3,550,000",Currency,2025-11-15
297,119,Estimated Capacity,iWave,"$100,000",Currency,2024-06-21
298,120,Likelihood to Give,WealthEngine,68%,Percent,2025-09-12
299,120,Estimated Capacity,WealthEngine,"$120,000",Currency,2025-01-22
300,120,Real Estate,WealthEngine,"$600,000",Currency,2025-04-16
301,121,Estimated Capacity,Blackbaud Target Analytics,"$290,000",Currency,2025-10-10
302,121,Likelihood to Give,Blackbaud Target Analytics,60%,Percent,2025-01-12
303,121,Real Estate,Blackbaud Target Analytics,"$1,000,000",Currency,2024-06-13
304,122,Likelihood to Give,DonorSearch,35%,Percent,2025-12-15
305,122,Estimated Capacity,DonorSearch,"$130,000",Currency,2024-09-21
306,123,Estimated Capacity,iWave,"$250,000",Currency,2025-11-22
307,123,Likelihood to Give,iWave,65%,Percent,2024-08-20
308,124,Estimated Capacity,Blackbaud Target Analytics,"$100,000",Currency,2025-10-26
309,124,Likelihood to Give,Blackbaud Target Analytics,63%,Percent,2026-03-27
310,125,Estimated Capacity,DonorSearch,"$1,910,000",Currency,2025-10-26
311,125,Likelihood to Give,DonorSearch,81%,Percent,2025-12-14
312,125,Real Estate,DonorSearch,"$650,000",Currency,2024-10-31
313,126,Likelihood to Give,DonorSearch,21%,Percent,2025-01-15
314,126,Real Estate,DonorSearch,"$3,800,000",Currency,2025-09-08
315,126,Estimated Capacity,DonorSearch,"$980,000",Currency,2026-03-09
316,127,Real Estate,Blackbaud Target Analytics,"$3,400,000",Currency,2024-12-18
317,127,Estimated Capacity,Blackbaud Target Analytics,"$90,000",Currency,2025-02-10
318,127,Likelihood to Give,Blackbaud Target Analytics,83%,Percent,2024-12-06
319,128,Likelihood to Give,DonorSearch,28%,Percent,2026-02-14
320,128,Estimated Capacity,DonorSearch,"$90,000",Currency,2025-07-15
321,129,Real Estate,Blackbaud Target Analytics,"$2,500,000",Currency,2024-11-21
322,129,Likelihood to Give,Blackbaud Target Analytics,90%,Percent,2026-01-11
323,129,Estimated Capacity,Blackbaud Target Analytics,"$1,080,000",Currency,2025-12-26
324,130,Likelihood to Give,iWave,69%,Percent,2025-05-10
325,130,Estimated Capacity,iWave,"$370,000",Currency,2025-03-10
326,130,Real Estate,iWave,"$1,400,000",Currency,2026-01-15
327,131,Likelihood to Give,Blackbaud Target Analytics,67%,Percent,2026-02-13
328,131,Estimated Capacity,Blackbaud Target Analytics,"$50,000",Currency,2026-01-25
329,131,Real Estate,Blackbaud Target Analytics,"$3,050,000",Currency,2026-01-14
330,132,Real Estate,Blackbaud Target Analytics,"$3,850,000",Currency,2024-08-30
331,132,Estimated Capacity,Blackbaud Target Analytics,"$70,000",Currency,2024-09-24
332,133,Likelihood to Give,DonorSearch,59%,Percent,2025-07-02
333,133,Real Estate,DonorSearch,"$600,000",Currency,2025-04-27
334,133,Estimated Capacity,DonorSearch,"$570,000",Currency,2024-11-19
335,134,Estimated Capacity,WealthEngine,"$350,000",Currency,2024-09-30
336,134,Likelihood to Give,WealthEngine,54%,Percent,2025-07-11
337,135,Real Estate,WealthEngine,"$900,000",Currency,2026-03-24
338,135,Likelihood to Give,WealthEngine,15%,Percent,2025-06-10
339,136,Estimated Capacity,Blackbaud Target Analytics,"$930,000",Currency,2024-09-20
340,136,Real Estate,Blackbaud Target Analytics,"$750,000",Currency,2026-02-10
341,137,Real Estate,DonorSearch,"$1,800,000",Currency,2025-04-02
342,137,Estimated Capacity,DonorSearch,"$260,000",Currency,2025-05-08
343,138,Real Estate,Blackbaud Target Analytics,"$800,000",Currency,2025-11-14
344,138,Estimated Capacity,Blackbaud Target Analytics,"$90,000",Currency,2024-07-29
345,138,Likelihood to Give,Blackbaud Target Analytics,37%,Percent,2026-01-29
346,139,Likelihood to Give,WealthEngine,53%,Percent,2025-07-17
347,139,Real Estate,WealthEngine,"$650,000",Currency,2024-11-14
348,139,Estimated Capacity,WealthEngine,"$100,000",Currency,2025-02-06
349,140,Estimated Capacity,WealthEngine,"$90,000",Currency,2024-08-17
350,140,Real Estate,WealthEngine,"$1,350,000",Currency,2025-09-25
351,140,Likelihood to Give,WealthEngine,89%,Percent,2025-09-18
352,141,Likelihood to Give,iWave,86%,Percent,2026-04-15
353,141,Real Estate,iWave,"$850,000",Currency,2025-02-06
354,141,Estimated Capacity,iWave,"$830,000",Currency,2025-03-29
355,142,Estimated Capacity,iWave,"$210,000",Currency,2025-01-31
356,142,Likelihood to Give,iWave,60%,Percent,2026-02-02
357,142,Real Estate,iWave,"$1,850,000",Currency,2024-09-10
358,143,Likelihood to Give,WealthEngine,60%,Percent,2026-04-01
359,143,Estimated Capacity,WealthEngine,"$520,000",Currency,2025-10-29
360,143,Real Estate,WealthEngine,"$1,950,000",Currency,2024-07-29
361,144,Likelihood to Give,Blackbaud Target Analytics,23%,Percent,2025-08-16
362,144,Estimated Capacity,Blackbaud Target Analytics,"$170,000",Currency,2024-08-27
363,145,Likelihood to Give,DonorSearch,34%,Percent,2025-05-16
364,145,Real Estate,DonorSearch,"$500,000",Currency,2025-11-01
365,145,Estimated Capacity,DonorSearch,"$110,000",Currency,2024-07-13
366,146,Likelihood to Give,iWave,14%,Percent,2026-01-07
367,146,Estimated Capacity,iWave,"$120,000",Currency,2025-08-03
368,146,Real Estate,iWave,"$800,000",Currency,2024-08-14
369,147,Real Estate,DonorSearch,"$3,050,000",Currency,2025-01-02
370,147,Likelihood to Give,DonorSearch,19%,Percent,2024-09-06
371,148,Estimated Capacity,Blackbaud Target Analytics,"$380,000",Currency,2024-12-28
372,148,Likelihood to Give,Blackbaud Target Analytics,57%,Percent,2025-06-16
373,148,Real Estate,Blackbaud Target Analytics,"$400,000",Currency,2024-08-25
374,149,Likelihood to Give,DonorSearch,43%,Percent,2026-02-23
375,149,Real Estate,DonorSearch,"$500,000",Currency,2025-07-03
376,149,Estimated Capacity,DonorSearch,"$90,000",Currency,2026-01-20
377,150,Real Estate,WealthEngine,"$2,700,000",Currency,2024-09-14
378,150,Estimated Capacity,WealthEngine,"$440,000",Currency,2025-05-28
379,150,Likelihood to Give,WealthEngine,64%,Percent,2024-11-25
380,151,Estimated Capacity,DonorSearch,"$220,000",Currency,2024-11-22
381,151,Likelihood to Give,DonorSearch,55%,Percent,2026-03-13
382,151,Real Estate,DonorSearch,"$3,950,000",Currency,2025-01-29
