action_id,constituent_id,action_number,category,action_date,summary,fundraiser_id,days_since
79,11,1,Phone Call,2023-06-09,Confirmed meeting time,1,1078
80,11,2,Meeting,2023-03-10,Met at alumni event,1,1169
81,12,1,Email,2026-03-29,Holiday greeting,1,54
82,12,2,Meeting,2025-11-09,Lunch at faculty club,1,194
83,12,3,Site Visit,2025-10-16,Visited endowed professorship,1,218
84,12,4,Proposal Submitted,2025-09-14,Submitted pledge renewal proposal,1,250
85,12,5,Site Visit,2024-10-16,Campus tour with family,1,583
86,12,6,Proposal Submitted,2024-07-17,Delivered $100K endowment proposal,1,674
87,12,7,Event Attendance,2024-04-16,Attended gala,1,766
88,12,8,Email,2024-03-05,Sent impact report,1,808
89,12,9,Proposal Submitted,2023-01-28,Presented $50K annual fund proposal,1,1210
90,12,10,Site Visit,2022-08-04,Met scholarship recipient,1,1387
91,12,11,Proposal Submitted,2022-07-28,Submitted pledge renewal proposal,1,1394
92,12,12,Event Attendance,2022-07-26,President's dinner,1,1396
93,13,1,Event Attendance,2026-02-11,Commencement ceremony,1,100
94,13,2,Meeting,2026-01-28,Discussed naming opportunity,1,114
95,13,3,Email,2025-12-28,Holiday greeting,1,145
96,13,4,Phone Call,2024-10-19,Confirmed meeting time,1,580
97,13,5,Meeting,2024-07-29,Coffee meeting downtown,1,662
98,13,6,Phone Call,2022-10-11,Discussed pledge payment,1,1319
99,14,1,Proposal Submitted,2025-09-17,Delivered naming opportunity packet,1,247
100,14,2,Email,2025-07-10,Annual fund solicitation,1,316
101,14,3,Phone Call,2024-10-15,Introduced new initiative,1,584
102,14,4,Proposal Submitted,2024-09-17,Submitted $250K scholarship proposal,1,612
103,14,5,Email,2024-02-17,Sent birthday greeting,1,825
104,14,6,Phone Call,2023-12-18,Touched base on family news,1,886
105,14,7,Site Visit,2023-08-20,Campus tour with family,1,1006
106,14,8,Site Visit,2022-10-04,Met scholarship recipient,1,1326
107,14,9,Event Attendance,2022-09-20,Commencement ceremony,1,1340
108,15,1,Site Visit,2025-05-05,Toured new building,1,382
109,15,2,Meeting,2024-04-27,Follow-up meeting re: proposal,1,755
110,15,3,Email,2024-01-07,Forwarded dean's letter,1,866
111,15,4,Proposal Submitted,2023-12-14,Presented $500K naming proposal,1,890
112,15,5,Proposal Submitted,2022-12-11,Submitted pledge renewal proposal,1,1258
113,15,6,Proposal Submitted,2022-11-07,Presented $500K naming proposal,1,1292
114,16,1,Phone Call,2025-12-10,Call re: event invitation,1,163
115,16,2,Phone Call,2025-12-01,Called to share impact story,1,172
116,16,3,Site Visit,2025-07-21,Met scholarship recipient,1,305
117,16,4,Event Attendance,2024-10-03,Attended gala,1,596
118,16,5,Event Attendance,2024-09-13,Homecoming reception,1,616
119,16,6,Meeting,2023-12-08,Follow-up meeting re: proposal,1,896
120,16,7,Meeting,2023-10-06,Follow-up meeting re: proposal,1,959
121,16,8,Site Visit,2023-09-16,Campus tour with family,1,979
122,16,9,Meeting,2023-06-12,Initial in-person meeting,1,1075
123,16,10,Proposal Submitted,2023-06-07,Submitted pledge renewal proposal,1,1080
124,16,11,Event Attendance,2022-11-09,Regional club event,1,1290
125,16,12,Email,2022-10-04,Proposal follow-up email,1,1326
126,17,1,Meeting,2026-04-18,Year-end thank-you lunch,1,34
127,17,2,Proposal Submitted,2025-12-05,Submitted $1M capital campaign proposal,1,168
128,17,3,Phone Call,2023-07-25,Discussed pledge payment,1,1032
129,18,1,Meeting,2026-02-18,Discussed naming opportunity,1,93
130,18,2,Event Attendance,2025-12-12,Attended gala,1,161
131,18,3,Meeting,2025-12-02,Discussed naming opportunity,1,171
132,18,4,Meeting,2025-05-07,Coffee meeting downtown,1,380
133,18,5,Phone Call,2025-05-03,Touched base on family news,1,384
134,18,6,Site Visit,2025-03-15,Arts center opening,1,433
135,18,7,Site Visit,2024-12-06,Visited endowed professorship,1,532
136,18,8,Proposal Submitted,2024-11-25,Submitted pledge renewal proposal,1,543
137,18,9,Event Attendance,2024-09-19,Athletic event in donor suite,1,610
138,18,10,Email,2024-08-17,Annual fund solicitation,1,643
139,18,11,Event Attendance,2024-06-21,Advisory board meeting,1,700
140,18,12,Proposal Submitted,2024-03-08,Submitted pledge renewal proposal,1,805
141,18,13,Proposal Submitted,2024-01-20,Submitted pledge renewal proposal,1,853
142,18,14,Site Visit,2023-11-12,Visited endowed professorship,1,922
143,18,15,Email,2023-11-02,Event invitation,1,932
144,18,16,Phone Call,2023-02-04,Discussed pledge payment,1,1203
145,18,17,Meeting,2022-12-31,Met at alumni event,1,1238
146,18,18,Meeting,2022-11-21,Coffee meeting downtown,1,1278
147,18,19,Proposal Submitted,2022-08-18,Presented $500K naming proposal,1,1373
148,18,20,Meeting,2022-08-11,Met at alumni event,1,1380
149,18,21,Site Visit,2022-06-09,Arts center opening,1,1443
150,19,1,Email,2025-11-26,Forwarded dean's letter,1,177
151,19,2,Phone Call,2025-04-26,Touched base on family news,1,391
152,19,3,Site Visit,2025-01-11,Toured new building,1,496
153,19,4,Meeting,2023-12-11,Office visit,1,893
154,19,5,Phone Call,2023-05-14,Touched base on family news,1,1104
155,19,6,Site Visit,2022-11-16,Campus tour with family,1,1283
156,19,7,Meeting,2022-09-29,Initial in-person meeting,1,1331
157,20,1,Event Attendance,2026-05-05,Campaign kickoff event,1,17
158,20,2,Email,2026-02-06,Sent impact report,1,105
159,20,3,Site Visit,2025-10-23,Campus tour with family,1,211
160,20,4,Site Visit,2025-04-04,Athletic facility tour,1,413
161,20,5,Event Attendance,2025-01-10,Athletic event in donor suite,1,497
162,20,6,Phone Call,2024-09-25,Check-in call,1,604
163,20,7,Event Attendance,2024-07-07,Attended gala,1,684
164,20,8,Site Visit,2024-03-10,Athletic facility tour,1,803
165,20,9,Email,2024-01-21,Sent birthday greeting,1,852
166,20,10,Meeting,2023-12-19,Discovery meeting,1,885
167,20,11,Proposal Submitted,2023-08-10,Submitted $1M capital campaign proposal,1,1016
168,20,12,Site Visit,2023-03-12,Toured new building,1,1167
169,20,13,Site Visit,2023-02-21,Athletic facility tour,1,1186
170,20,14,Proposal Submitted,2022-11-07,Delivered $100K endowment proposal,1,1292
171,21,1,Event Attendance,2026-04-09,Athletic event in donor suite,1,43
172,21,2,Phone Call,2025-06-25,Call re: event invitation,1,331
173,21,3,Proposal Submitted,2025-04-23,Submitted pledge renewal proposal,1,394
174,21,4,Site Visit,2025-02-26,Campus tour with family,1,450
175,21,5,Proposal Submitted,2025-01-31,Submitted pledge renewal proposal,1,476
176,21,6,Proposal Submitted,2024-10-09,Delivered $100K endowment proposal,1,590
177,21,7,Site Visit,2024-06-26,Visited endowed professorship,1,695
178,21,8,Phone Call,2024-06-16,Brief check-in,1,705
179,21,9,Phone Call,2023-12-10,Call re: event invitation,1,894
180,21,10,Proposal Submitted,2023-12-06,Submitted pledge renewal proposal,1,898
181,21,11,Meeting,2023-10-03,Campus visit scheduled,1,962
182,21,12,Site Visit,2023-07-17,Lab walkthrough with faculty,1,1040
183,21,13,Phone Call,2023-02-03,Left voicemail,1,1204
184,21,14,Phone Call,2022-07-19,Brief check-in,1,1403
185,21,15,Site Visit,2022-06-23,Toured new building,1,1429
186,22,1,Meeting,2025-03-19,Coffee meeting downtown,1,429
187,22,2,Email,2025-01-26,Proposal follow-up email,1,481
188,22,3,Email,2024-09-07,Holiday greeting,1,622
189,22,4,Phone Call,2023-08-14,Called to share impact story,1,1012
190,22,5,Meeting,2023-04-07,Lunch at faculty club,1,1141
191,23,1,Email,2025-09-30,Sent impact report,1,234
192,23,2,Event Attendance,2025-09-16,Regional club event,1,248
193,23,3,Phone Call,2025-02-17,Called to share impact story,1,459
194,23,4,Event Attendance,2025-02-11,Homecoming reception,1,465
195,23,5,Proposal Submitted,2024-12-09,Submitted $250K scholarship proposal,1,529
196,23,6,Site Visit,2024-06-24,Visited endowed professorship,1,697
197,23,7,Site Visit,2023-12-22,Visited endowed professorship,1,882
198,23,8,Meeting,2023-08-29,Lunch at faculty club,1,997
199,23,9,Event Attendance,2023-03-28,Homecoming reception,1,1151
200,23,10,Event Attendance,2022-12-04,Attended gala,1,1265
201,24,1,Phone Call,2025-10-30,Introduced new initiative,1,204
202,24,2,Email,2025-10-18,Holiday greeting,1,216
203,24,3,Meeting,2025-09-22,Met at alumni event,1,242
204,24,4,Site Visit,2025-07-04,Campus tour with family,1,322
205,24,5,Meeting,2025-06-13,Met at alumni event,1,343
206,24,6,Site Visit,2025-03-27,Met scholarship recipient,1,421
207,24,7,Email,2024-09-30,Sent birthday greeting,1,599
208,24,8,Phone Call,2024-05-11,Solicitation follow-up,1,741
209,24,9,Email,2023-11-29,Sent thank-you note,1,905
210,24,10,Proposal Submitted,2023-08-05,Delivered naming opportunity packet,1,1021
211,24,11,Site Visit,2023-07-20,Met scholarship recipient,1,1037
212,24,12,Proposal Submitted,2022-11-08,Submitted pledge renewal proposal,1,1291
213,24,13,Phone Call,2022-06-01,Discussed pledge payment,1,1451
214,25,1,Meeting,2026-03-22,Year-end thank-you lunch,1,61
215,25,2,Event Attendance,2025-08-12,Homecoming reception,1,283
216,25,3,Meeting,2025-07-27,Stewardship dinner,1,299
217,25,4,Email,2025-02-08,Updated on campaign progress,1,468
218,25,5,Phone Call,2024-05-11,Confirmed meeting time,1,741
219,25,6,Meeting,2024-02-03,Discussed naming opportunity,1,839
220,25,7,Meeting,2024-01-26,Campus visit scheduled,1,847
221,25,8,Proposal Submitted,2024-01-09,Presented $500K naming proposal,1,864
222,25,9,Event Attendance,2023-12-25,Attended gala,1,879
223,25,10,Proposal Submitted,2023-11-27,Submitted pledge renewal proposal,1,907
224,25,11,Proposal Submitted,2023-10-25,Presented $50K annual fund proposal,1,940
225,25,12,Email,2023-06-29,Updated on campaign progress,1,1058
226,25,13,Site Visit,2022-07-24,Arts center opening,1,1398
227,26,1,Event Attendance,2026-05-05,Athletic event in donor suite,1,17
228,26,2,Proposal Submitted,2025-07-25,Delivered $100K endowment proposal,1,301
229,26,3,Proposal Submitted,2025-03-27,Submitted $1M capital campaign proposal,1,421
230,26,4,Phone Call,2024-10-26,Call re: event invitation,1,573
231,26,5,Meeting,2024-09-05,Coffee meeting downtown,1,624
232,26,6,Event Attendance,2024-08-17,Advisory board meeting,1,643
233,26,7,Site Visit,2024-06-16,Arts center opening,1,705
234,26,8,Proposal Submitted,2024-02-14,Submitted pledge renewal proposal,1,828
235,26,9,Phone Call,2023-11-20,Called to share impact story,1,914
236,26,10,Event Attendance,2023-06-06,Regional club event,1,1081
237,26,11,Phone Call,2022-12-18,Solicitation follow-up,1,1251
238,26,12,Event Attendance,2022-10-11,Campaign kickoff event,1,1319
239,26,13,Email,2022-06-17,Sent birthday greeting,1,1435
240,27,1,Event Attendance,2026-04-04,Homecoming reception,1,48
241,27,2,Proposal Submitted,2026-03-25,Submitted $250K scholarship proposal,1,58
242,27,3,Email,2025-06-28,Proposal follow-up email,1,328
243,27,4,Proposal Submitted,2025-01-12,Presented $50K annual fund proposal,1,495
244,27,5,Email,2024-12-08,Event invitation,1,530
245,27,6,Meeting,2024-09-06,Campus visit scheduled,1,623
246,27,7,Meeting,2024-01-07,Initial in-person meeting,1,866
247,27,8,Email,2023-05-12,Annual fund solicitation,1,1106
248,27,9,Proposal Submitted,2023-01-24,Submitted $250K scholarship proposal,1,1214
249,27,10,Site Visit,2022-10-28,Met scholarship recipient,1,1302
250,28,1,Proposal Submitted,2023-03-20,Presented $50K annual fund proposal,1,1159
251,28,2,Event Attendance,2023-02-15,Alumni leadership weekend,1,1192
252,28,3,Email,2022-11-13,Proposal follow-up email,1,1286
253,29,1,Proposal Submitted,2025-08-08,Submitted $1M capital campaign proposal,1,287
254,29,2,Event Attendance,2023-03-05,Alumni leadership weekend,1,1174
255,29,3,Meeting,2022-08-25,Stewardship dinner,1,1366
256,29,4,Event Attendance,2022-08-13,Alumni leadership weekend,1,1378
257,30,1,Phone Call,2026-01-14,Touched base on family news,1,128
258,30,2,Phone Call,2025-12-05,Touched base on family news,1,168
259,30,3,Meeting,2025-11-14,Stewardship dinner,1,189
260,30,4,Proposal Submitted,2025-11-02,Presented $50K annual fund proposal,1,201
261,30,5,Site Visit,2025-07-25,Athletic facility tour,1,301
262,30,6,Event Attendance,2024-01-29,Campaign kickoff event,1,844
263,30,7,Site Visit,2024-01-02,Visited endowed professorship,1,871
264,30,8,Email,2024-01-01,Annual fund solicitation,1,872
265,30,9,Site Visit,2023-11-03,Arts center opening,1,931
266,30,10,Site Visit,2022-05-25,Campus tour with family,1,1458
267,31,1,Proposal Submitted,2026-03-16,Presented $500K naming proposal,1,67
268,31,2,Event Attendance,2025-09-22,Advisory board meeting,1,242
269,31,3,Meeting,2025-09-03,Met spouse for first time,1,261
270,31,4,Site Visit,2025-08-30,Toured new building,1,265
271,31,5,Meeting,2025-07-30,Stewardship dinner,1,296
272,31,6,Event Attendance,2025-06-22,Regional club event,1,334
273,31,7,Meeting,2025-03-12,Follow-up meeting re: proposal,1,436
274,31,8,Phone Call,2024-01-19,Solicitation follow-up,1,854
275,31,9,Email,2023-11-01,Proposal follow-up email,1,933
276,31,10,Email,2023-10-27,Proposal follow-up email,1,938
277,31,11,Email,2023-09-25,Forwarded dean's letter,1,970
278,31,12,Meeting,2023-09-02,Office visit,1,993
279,31,13,Phone Call,2023-08-23,Brief check-in,1,1003
280,31,14,Site Visit,2023-07-21,Toured new building,1,1036
281,31,15,Email,2023-07-05,Proposal follow-up email,1,1052
282,31,16,Phone Call,2023-06-03,Discussed pledge payment,1,1084
283,31,17,Proposal Submitted,2022-06-29,Submitted $1M capital campaign proposal,1,1423
284,31,18,Meeting,2022-06-09,Lunch at faculty club,1,1443
285,31,19,Event Attendance,2022-05-26,Advisory board meeting,1,1457
286,32,1,Site Visit,2026-02-19,Athletic facility tour,1,92
287,32,2,Email,2024-01-17,Annual fund solicitation,1,856
288,33,1,Site Visit,2024-06-29,Visited endowed professorship,1,692
289,33,2,Proposal Submitted,2024-04-09,Delivered naming opportunity packet,1,773
290,34,1,Site Visit,2025-11-20,Campus tour with family,1,183
291,34,2,Phone Call,2025-08-23,Confirmed meeting time,1,272
292,34,3,Email,2025-08-11,Sent birthday greeting,1,284
293,34,4,Meeting,2025-07-20,Campus visit scheduled,1,306
294,34,5,Site Visit,2024-07-24,Arts center opening,1,667
295,34,6,Email,2023-11-14,Event invitation,1,920
296,34,7,Phone Call,2023-11-12,Check-in call,1,922
297,34,8,Event Attendance,2023-10-21,Regional club event,1,944
298,34,9,Event Attendance,2023-07-23,Homecoming reception,1,1034
299,34,10,Proposal Submitted,2022-11-21,Presented $50K annual fund proposal,1,1278
300,34,11,Meeting,2022-11-19,Met at alumni event,1,1280
301,34,12,Event Attendance,2022-10-26,Campaign kickoff event,1,1304
302,34,13,Event Attendance,2022-08-30,Attended gala,1,1361
303,34,14,Event Attendance,2022-08-24,Campaign kickoff event,1,1367
304,35,1,Email,2026-04-13,Shared news article of interest,1,39
305,35,2,Phone Call,2026-04-13,Brief check-in,1,39
306,35,3,Site Visit,2025-09-17,Toured new building,1,247
307,35,4,Event Attendance,2025-05-18,Advisory board meeting,1,369
308,35,5,Site Visit,2023-09-20,Athletic facility tour,1,975
309,35,6,Meeting,2023-07-27,Initial in-person meeting,1,1030
310,35,7,Meeting,2023-05-28,Stewardship dinner,1,1090
311,35,8,Site Visit,2022-09-11,Lab walkthrough with faculty,1,1349
312,36,1,Phone Call,2026-04-02,Discussed pledge payment,1,50
313,36,2,Email,2025-11-16,Event invitation,1,187
314,36,3,Phone Call,2025-10-30,Call re: event invitation,1,204
315,36,4,Site Visit,2025-09-29,Arts center opening,1,235
316,36,5,Phone Call,2025-06-11,Check-in call,1,345
317,36,6,Event Attendance,2024-12-11,Advisory board meeting,1,527
318,36,7,Phone Call,2024-10-14,Check-in call,1,585
319,36,8,Proposal Submitted,2024-08-10,Submitted $250K scholarship proposal,1,650
320,36,9,Email,2024-03-30,Updated on campaign progress,1,783
321,36,10,Meeting,2023-06-05,Stewardship dinner,1,1082
322,36,11,Phone Call,2023-05-08,Confirmed meeting time,1,1110
323,37,1,Site Visit,2026-02-04,Toured new building,1,107
324,37,2,Site Visit,2026-01-17,Arts center opening,1,125
325,37,3,Phone Call,2026-01-07,Check-in call,1,135
326,37,4,Email,2025-09-28,Sent birthday greeting,1,236
327,37,5,Event Attendance,2025-09-16,Homecoming reception,1,248
328,37,6,Phone Call,2025-04-02,Called to share impact story,1,415
329,37,7,Proposal Submitted,2025-01-22,Delivered naming opportunity packet,1,485
330,37,8,Phone Call,2025-01-16,Call re: event invitation,1,491
331,37,9,Event Attendance,2024-12-09,Commencement ceremony,1,529
332,37,10,Site Visit,2024-11-16,Toured new building,1,552
333,37,11,Proposal Submitted,2024-08-08,Presented $50K annual fund proposal,1,652
334,37,12,Phone Call,2024-07-27,Discussed pledge payment,1,664
335,37,13,Email,2024-04-12,Sent birthday greeting,1,770
336,37,14,Phone Call,2024-03-24,Left voicemail,1,789
337,37,15,Event Attendance,2024-02-08,Commencement ceremony,1,834
338,37,16,Event Attendance,2023-10-13,Athletic event in donor suite,1,952
339,37,17,Meeting,2023-08-16,Coffee meeting downtown,1,1010
340,37,18,Site Visit,2023-07-23,Visited endowed professorship,1,1034
341,37,19,Event Attendance,2023-07-15,Regional club event,1,1042
342,37,20,Proposal Submitted,2023-04-15,Presented $500K naming proposal,1,1133
343,37,21,Meeting,2023-02-06,Coffee meeting downtown,1,1201
344,37,22,Site Visit,2023-01-15,Met scholarship recipient,1,1223
345,38,1,Email,2026-02-17,Event invitation,1,94
346,38,2,Site Visit,2025-12-29,Arts center opening,1,144
347,38,3,Meeting,2025-06-25,Office visit,1,331
348,38,4,Proposal Submitted,2025-03-12,Presented $50K annual fund proposal,1,436
349,38,5,Email,2024-12-24,Updated on campaign progress,1,514
350,38,6,Phone Call,2024-10-22,Brief check-in,1,577
351,38,7,Event Attendance,2024-06-01,Advisory board meeting,1,720
352,38,8,Proposal Submitted,2024-04-03,Delivered $100K endowment proposal,1,779
353,38,9,Proposal Submitted,2023-07-11,Delivered $100K endowment proposal,1,1046
354,38,10,Proposal Submitted,2023-05-24,Submitted $1M capital campaign proposal,1,1094
355,38,11,Email,2023-03-25,Shared news article of interest,1,1154
356,38,12,Proposal Submitted,2023-02-08,Delivered $100K endowment proposal,1,1199
357,38,13,Email,2022-11-04,Shared news article of interest,1,1295
358,38,14,Site Visit,2022-07-29,Athletic facility tour,1,1393
359,39,1,Meeting,2026-04-19,Met spouse for first time,1,33
360,39,2,Site Visit,2025-08-21,Toured new building,1,274
361,39,3,Meeting,2022-10-06,Campus visit scheduled,1,1324
362,39,4,Phone Call,2022-07-05,Confirmed meeting time,1,1417
363,40,1,Proposal Submitted,2025-12-06,Submitted pledge renewal proposal,1,167
364,40,2,Meeting,2024-03-08,Follow-up meeting re: proposal,1,805
365,40,3,Meeting,2023-08-24,Campus visit scheduled,1,1002
366,40,4,Site Visit,2023-05-15,Arts center opening,1,1103
367,40,5,Meeting,2022-06-25,Stewardship dinner,1,1427
368,40,6,Site Visit,2022-06-11,Visited endowed professorship,1,1441
369,41,1,Proposal Submitted,2026-05-04,Submitted pledge renewal proposal,1,18
370,41,2,Email,2026-05-02,Shared news article of interest,1,20
371,41,3,Meeting,2026-04-11,Met spouse for first time,1,41
372,41,4,Proposal Submitted,2025-09-08,Delivered $100K endowment proposal,1,256
373,41,5,Proposal Submitted,2025-05-24,Presented $500K naming proposal,1,363
374,41,6,Phone Call,2025-04-21,Touched base on family news,1,396
375,41,7,Email,2025-02-22,Sent impact report,1,454
376,41,8,Email,2024-10-23,Forwarded dean's letter,1,576
377,41,9,Proposal Submitted,2024-05-18,Submitted pledge renewal proposal,1,734
378,41,10,Event Attendance,2024-04-23,Alumni leadership weekend,1,759
379,41,11,Meeting,2024-03-20,Met at alumni event,1,793
380,41,12,Proposal Submitted,2023-11-23,Submitted $1M capital campaign proposal,1,911
381,41,13,Meeting,2023-10-17,Discovery meeting,1,948
382,41,14,Event Attendance,2022-06-24,Campaign kickoff event,1,1428
383,42,1,Phone Call,2025-06-06,Brief check-in,1,350
384,42,2,Proposal Submitted,2023-04-17,Submitted pledge renewal proposal,1,1131
385,43,1,Event Attendance,2026-04-04,Regional club event,1,48
386,43,2,Proposal Submitted,2026-01-08,Presented $50K annual fund proposal,1,134
387,43,3,Site Visit,2026-01-08,Toured new building,1,134
388,43,4,Site Visit,2025-09-03,Arts center opening,1,261
389,43,5,Proposal Submitted,2025-09-01,Submitted pledge renewal proposal,1,263
390,43,6,Meeting,2025-05-27,Stewardship dinner,1,360
391,43,7,Site Visit,2025-04-24,Visited endowed professorship,1,393
392,43,8,Site Visit,2025-02-09,Met scholarship recipient,1,467
393,43,9,Meeting,2024-12-06,Campus visit scheduled,1,532
394,43,10,Event Attendance,2024-11-06,Athletic event in donor suite,1,562
395,43,11,Site Visit,2023-06-15,Met scholarship recipient,1,1072
396,43,12,Event Attendance,2023-03-21,Attended gala,1,1158
397,43,13,Proposal Submitted,2023-03-11,Presented $500K naming proposal,1,1168
398,43,14,Meeting,2023-02-02,Discovery meeting,1,1205
399,43,15,Site Visit,2022-08-02,Athletic facility tour,1,1389
400,43,16,Site Visit,2022-08-02,Met scholarship recipient,1,1389
401,43,17,Meeting,2022-07-02,Discussed naming opportunity,1,1420
402,44,1,Email,2026-03-31,Proposal follow-up email,1,52
403,44,2,Meeting,2025-12-20,Campus visit scheduled,1,153
404,44,3,Proposal Submitted,2025-12-05,Submitted $250K scholarship proposal,1,168
405,44,4,Meeting,2025-06-19,Initial in-person meeting,1,337
406,44,5,Site Visit,2025-04-13,Visited endowed professorship,1,404
407,44,6,Meeting,2025-02-13,Met spouse for first time,1,463
408,44,7,Proposal Submitted,2024-12-26,Delivered $100K endowment proposal,1,512
409,44,8,Email,2024-07-05,Shared news article of interest,1,686
410,44,9,Meeting,2024-01-05,Initial in-person meeting,1,868
411,44,10,Phone Call,2023-03-07,Introduced new initiative,1,1172
412,44,11,Meeting,2022-07-09,Stewardship dinner,1,1413
413,45,1,Meeting,2026-03-14,Office visit,1,69
414,45,2,Meeting,2026-01-17,Initial in-person meeting,1,125
415,45,3,Meeting,2025-12-23,Discovery meeting,1,150
416,45,4,Event Attendance,2025-11-27,Commencement ceremony,1,176
417,45,5,Meeting,2025-11-07,Lunch at faculty club,1,196
418,45,6,Proposal Submitted,2025-09-08,Submitted $250K scholarship proposal,1,256
419,45,7,Event Attendance,2025-01-22,Attended gala,1,485
420,45,8,Email,2024-08-18,Updated on campaign progress,1,642
