proposal_id,constituent_id,fundraiser_id,proposal_date,ask_amount,funded_amount,status,designation,expected_close_date
55,95,2,2026-04-15,45000.0,0.0,Pending,Student Life,2026-09-28
56,101,2,2024-08-13,95000.0,0.0,Withdrawn,Capital Campaign,
57,102,2,2026-02-23,325000.0,0.0,Pending,Student Life,2026-10-18
58,103,2,2023-01-11,45000.0,40000.0,Funded,Unrestricted Endowment,
59,103,2,2023-06-30,55000.0,50000.0,Funded,Unrestricted Endowment,
60,103,2,2023-06-04,60000.0,55000.0,Funded,Scholarship Endowment,
61,104,2,2021-08-22,100000.0,90000.0,Funded,Capital Campaign,
62,104,2,2021-05-30,200000.0,150000.0,Funded,Library Fund,
63,106,2,2024-06-17,125000.0,0.0,Declined,Scholarship Endowment,
64,106,2,2026-02-14,225000.0,0.0,Pending,Dean's Discretionary Fund,2026-12-21
65,107,2,2022-08-09,65000.0,55000.0,Funded,Student Life,
66,107,2,2025-02-04,65000.0,55000.0,Funded,Athletics Fund,
67,111,2,2023-12-19,55000.0,0.0,Declined,Scholarship Endowment,
68,117,2,2026-03-23,50000.0,0.0,Pending,Library Fund,2026-11-16
69,123,2,2024-11-17,30000.0,0.0,Declined,Scholarship Endowment,
70,123,2,2026-03-04,50000.0,0.0,Pending,Unrestricted Endowment,2027-03-30
71,125,2,2023-07-28,25000.0,0.0,Declined,Research Initiative,
72,127,2,2025-01-24,22000.0,0.0,Withdrawn,Arts & Humanities,
73,127,2,2025-12-12,55000.0,0.0,Pending,Library Fund,2026-07-18
74,129,2,2021-01-08,375000.0,375000.0,Funded,Dean's Discretionary Fund,
75,129,2,2024-08-25,325000.0,325000.0,Funded,Scholarship Endowment,
76,129,2,2024-03-14,350000.0,325000.0,Funded,Arts & Humanities,
77,130,2,2025-11-21,175000.0,150000.0,Funded,Student Life,
78,130,2,2021-05-28,70000.0,65000.0,Funded,Capital Campaign,
79,131,2,2026-03-30,250000.0,0.0,Pending,Annual Fund,2027-04-11
80,132,2,2024-04-07,19000.0,0.0,Withdrawn,Faculty Excellence Fund,
81,132,2,2025-10-29,45000.0,0.0,Pending,Annual Fund,2027-02-11
82,136,2,2026-03-08,50000.0,0.0,Pending,Student Life,2027-04-29
83,139,2,2024-07-28,175000.0,125000.0,Funded,Scholarship Endowment,
84,139,2,2022-06-27,125000.0,125000.0,Funded,Student Life,
85,139,2,2022-04-13,75000.0,60000.0,Funded,Library Fund,
86,143,2,2024-12-09,175000.0,0.0,Withdrawn,Annual Fund,
87,145,2,2022-12-28,325000.0,300000.0,Funded,Annual Fund,
88,147,2,2023-12-16,55000.0,0.0,Declined,Global Initiatives,
89,151,2,2026-02-26,400000.0,0.0,Pending,Unrestricted Endowment,2026-08-04
90,152,2,2026-02-27,30000.0,0.0,Pending,Annual Fund,2026-12-23
91,155,2,2024-02-24,50000.0,0.0,Withdrawn,Annual Fund,
92,155,2,2026-02-09,30000.0,0.0,Pending,Annual Fund,2026-07-07
93,157,2,2025-11-22,95000.0,0.0,Pending,Annual Fund,2026-06-23
94,158,2,2022-03-20,375000.0,350000.0,Funded,Unrestricted Endowment,
95,158,2,2023-04-26,300000.0,275000.0,Funded,Athletics Fund,
96,159,2,2026-01-29,150000.0,0.0,Pending,Faculty Excellence Fund,2027-05-17
97,161,2,2026-02-22,45000.0,0.0,Pending,Student Life,2027-04-10
98,162,2,2023-10-31,70000.0,60000.0,Funded,Global Initiatives,
99,163,2,2024-10-16,1000000.0,0.0,Withdrawn,Dean's Discretionary Fund,
100,164,2,2023-10-26,325000.0,0.0,Declined,Library Fund,
101,167,2,2024-11-09,45000.0,0.0,Declined,Faculty Excellence Fund,
102,167,2,2025-10-07,60000.0,0.0,Pending,Scholarship Endowment,2026-07-09
103,168,2,2025-04-13,100000.0,85000.0,Funded,Student Life,
104,168,2,2023-11-19,150000.0,125000.0,Funded,Capital Campaign,
105,169,2,2024-09-26,80000.0,0.0,Withdrawn,Library Fund,
106,172,2,2026-02-20,40000.0,0.0,Pending,Capital Campaign,2027-01-22
107,174,2,2021-04-23,30000.0,25000.0,Funded,Student Life,
108,174,2,2021-12-18,45000.0,40000.0,Funded,Faculty Excellence Fund,
109,174,2,2024-11-30,55000.0,55000.0,Funded,Athletics Fund,
110,181,3,2026-03-18,40000.0,0.0,Pending,Capital Campaign,2026-11-30
111,183,3,2025-09-30,700000.0,0.0,Pending,Athletics Fund,2027-01-14
112,185,3,2025-11-04,40000.0,0.0,Pending,Library Fund,2027-02-03
113,188,3,2022-09-01,45000.0,40000.0,Funded,Scholarship Endowment,
114,188,3,2023-12-01,45000.0,35000.0,Funded,Global Initiatives,
115,189,3,2026-02-02,85000.0,0.0,Withdrawn,Arts & Humanities,
116,190,3,2024-08-08,200000.0,0.0,Withdrawn,Dean's Discretionary Fund,
117,190,3,2026-04-22,300000.0,0.0,Pending,Global Initiatives,2026-08-12
118,192,3,2025-03-06,50000.0,0.0,Withdrawn,Student Life,
119,192,3,2026-03-23,45000.0,0.0,Pending,Global Initiatives,2026-06-30
120,194,3,2024-06-27,1000000.0,950000.0,Funded,Library Fund,
121,197,3,2024-04-23,24000.0,0.0,Declined,Research Initiative,
122,197,3,2025-06-09,45000.0,0.0,Pending,Faculty Excellence Fund,2026-11-29
123,198,3,2025-09-04,60000.0,55000.0,Funded,Annual Fund,
124,198,3,2022-05-28,70000.0,55000.0,Funded,Library Fund,
125,201,3,2025-11-29,425000.0,0.0,Pending,Annual Fund,2026-06-26
126,205,3,2026-04-10,125000.0,0.0,Pending,Scholarship Endowment,2026-12-10
127,208,3,2026-04-11,70000.0,0.0,Pending,Arts & Humanities,2027-05-22
128,209,3,2025-11-23,375000.0,0.0,Pending,Unrestricted Endowment,2027-05-03
129,211,3,2026-02-25,40000.0,0.0,Pending,Library Fund,2026-08-11
130,216,3,2025-11-12,150000.0,150000.0,Funded,Dean's Discretionary Fund,
131,216,3,2022-05-13,150000.0,125000.0,Funded,Annual Fund,
132,223,3,2025-10-10,175000.0,125000.0,Funded,Research Initiative,
133,223,3,2022-05-06,95000.0,85000.0,Funded,Athletics Fund,
134,223,3,2026-01-28,175000.0,150000.0,Funded,Global Initiatives,
135,224,3,2024-11-26,300000.0,0.0,Declined,Faculty Excellence Fund,
136,224,3,2026-02-27,275000.0,0.0,Pending,Global Initiatives,2026-11-13
137,225,3,2024-01-18,95000.0,0.0,Declined,Faculty Excellence Fund,
138,226,3,2022-09-10,200000.0,175000.0,Funded,Capital Campaign,
139,226,3,2024-02-17,400000.0,325000.0,Funded,Faculty Excellence Fund,
140,226,3,2022-04-19,375000.0,325000.0,Funded,Capital Campaign,
141,227,3,2024-06-24,30000.0,0.0,Declined,Research Initiative,
142,232,3,2026-01-11,55000.0,0.0,Pending,Student Life,2026-07-21
143,233,3,2024-10-01,100000.0,0.0,Withdrawn,Athletics Fund,
144,233,3,2026-04-11,175000.0,0.0,Pending,Faculty Excellence Fund,2027-02-21
145,247,3,2026-02-03,55000.0,0.0,Pending,Arts & Humanities,2026-10-14
146,248,3,2024-06-19,25000.0,0.0,Withdrawn,Capital Campaign,
147,249,3,2026-04-20,35000.0,0.0,Pending,Unrestricted Endowment,2026-12-16
148,251,3,2024-12-21,35000.0,0.0,Withdrawn,Athletics Fund,
149,252,3,2025-01-07,45000.0,0.0,Declined,Library Fund,
150,255,3,2022-08-16,550000.0,450000.0,Funded,Global Initiatives,
151,260,4,2025-06-30,24000.0,0.0,Declined,Scholarship Endowment,
152,261,4,2024-03-10,40000.0,0.0,Declined,Unrestricted Endowment,
153,261,4,2026-04-16,175000.0,0.0,Pending,Annual Fund,2026-12-20
154,270,4,2025-03-29,65000.0,0.0,Withdrawn,Library Fund,
155,275,4,2024-05-05,70000.0,0.0,Withdrawn,Arts & Humanities,
156,275,4,2025-11-29,125000.0,0.0,Pending,Student Life,2027-02-06
157,277,4,2026-03-06,30000.0,0.0,Pending,Global Initiatives,2027-04-20
158,278,4,2023-12-05,95000.0,70000.0,Funded,Faculty Excellence Fund,
159,278,4,2021-08-20,125000.0,125000.0,Funded,Annual Fund,
160,280,4,2026-04-04,225000.0,0.0,Pending,Arts & Humanities,2027-03-14
161,281,4,2023-07-21,125000.0,125000.0,Funded,Annual Fund,
162,283,4,2024-01-09,80000.0,0.0,Declined,Arts & Humanities,
163,283,4,2026-01-30,85000.0,0.0,Pending,Student Life,2026-06-24
164,284,4,2024-09-09,40000.0,0.0,Declined,Scholarship Endowment,
165,284,4,2025-11-08,65000.0,0.0,Pending,Dean's Discretionary Fund,2026-09-16
166,286,4,2024-02-05,175000.0,0.0,Withdrawn,Dean's Discretionary Fund,
167,287,4,2024-07-17,275000.0,0.0,Withdrawn,Scholarship Endowment,
168,288,4,2026-02-17,125000.0,0.0,Pending,Student Life,2026-12-28
169,289,4,2025-07-15,60000.0,0.0,Pending,Global Initiatives,2026-11-28
170,295,4,2022-04-09,35000.0,25000.0,Funded,Student Life,
171,295,4,2022-03-03,50000.0,40000.0,Funded,Arts & Humanities,
172,297,4,2024-06-03,40000.0,0.0,Declined,Student Life,
173,299,4,2023-04-17,200000.0,200000.0,Funded,Library Fund,
174,299,4,2021-08-21,175000.0,150000.0,Funded,Arts & Humanities,
175,299,4,2024-05-26,200000.0,200000.0,Funded,Unrestricted Endowment,
176,300,4,2024-02-16,16000.0,0.0,Withdrawn,Capital Campaign,
177,301,4,2023-01-20,125000.0,100000.0,Funded,Athletics Fund,
178,302,4,2020-12-12,30000.0,30000.0,Funded,Faculty Excellence Fund,
179,302,4,2025-04-09,30000.0,23000.0,Funded,Scholarship Endowment,
180,302,4,2023-05-31,40000.0,40000.0,Funded,Unrestricted Endowment,
181,303,4,2025-09-30,125000.0,0.0,Declined,Scholarship Endowment,
182,304,4,2024-02-15,75000.0,65000.0,Funded,Dean's Discretionary Fund,
183,304,4,2026-02-01,35000.0,30000.0,Funded,Dean's Discretionary Fund,
184,307,4,2026-01-06,350000.0,0.0,Declined,Athletics Fund,
185,310,4,2026-02-25,175000.0,0.0,Pending,Capital Campaign,2027-01-31
186,311,4,2020-12-04,425000.0,325000.0,Funded,Scholarship Endowment,
187,311,4,2022-02-12,375000.0,300000.0,Funded,Capital Campaign,
188,314,4,2026-01-06,200000.0,0.0,Pending,Annual Fund,2027-01-15
189,316,4,2024-05-03,150000.0,0.0,Declined,Arts & Humanities,
190,316,4,2025-10-21,175000.0,0.0,Pending,Faculty Excellence Fund,2027-02-01
191,320,4,2024-01-23,85000.0,0.0,Declined,Unrestricted Endowment,
192,322,4,2022-10-15,150000.0,125000.0,Funded,Unrestricted Endowment,
193,325,4,2026-03-06,60000.0,0.0,Pending,Athletics Fund,2026-12-31
194,328,4,2025-04-02,550000.0,500000.0,Funded,Student Life,
195,328,4,2021-09-27,850000.0,650000.0,Funded,Faculty Excellence Fund,
196,328,4,2021-12-25,1750000.0,1550000.0,Funded,Athletics Fund,
197,329,4,2023-12-12,150000.0,125000.0,Funded,Global Initiatives,
198,332,4,2023-02-18,400000.0,0.0,Declined,Research Initiative,
199,333,4,2025-10-30,25000.0,21000.0,Funded,Student Life,
200,333,4,2021-06-05,70000.0,60000.0,Funded,Research Initiative,
201,340,4,2024-07-29,125000.0,0.0,Withdrawn,Arts & Humanities,
202,340,4,2026-04-07,95000.0,0.0,Pending,Athletics Fund,2026-10-29
203,343,4,2023-09-22,1150000.0,1000000.0,Funded,Faculty Excellence Fund,
204,344,5,2026-03-05,60000.0,0.0,Pending,Global Initiatives,2027-01-20
205,348,5,2025-01-10,22000.0,0.0,Declined,Research Initiative,
206,348,5,2026-03-19,45000.0,0.0,Pending,Scholarship Endowment,2026-08-05
207,349,5,2025-02-01,25000.0,0.0,Withdrawn,Unrestricted Endowment,
208,349,5,2026-04-05,70000.0,0.0,Pending,Dean's Discretionary Fund,2026-12-13
209,354,5,2025-11-01,325000.0,0.0,Pending,Unrestricted Endowment,2027-03-11
210,358,5,2025-12-07,60000.0,0.0,Pending,Global Initiatives,2027-05-03
211,364,5,2023-10-28,95000.0,0.0,Declined,Unrestricted Endowment,
212,368,5,2023-11-19,125000.0,0.0,Withdrawn,Athletics Fund,
213,371,5,2024-07-05,30000.0,0.0,Declined,Capital Campaign,
214,371,5,2025-10-20,75000.0,0.0,Pending,Athletics Fund,2027-02-11
215,376,5,2024-07-19,125000.0,0.0,Declined,Athletics Fund,
216,376,5,2026-01-09,375000.0,0.0,Pending,Annual Fund,2026-10-22
217,377,5,2021-06-19,30000.0,25000.0,Funded,Unrestricted Endowment,
218,379,5,2022-02-10,25000.0,20000.0,Funded,Library Fund,
219,379,5,2023-12-15,65000.0,65000.0,Funded,Global Initiatives,
220,386,5,2021-09-02,175000.0,175000.0,Funded,Dean's Discretionary Fund,
221,386,5,2021-02-01,175000.0,175000.0,Funded,Arts & Humanities,
222,386,5,2024-02-14,200000.0,200000.0,Funded,Research Initiative,
223,402,5,2021-08-14,1050000.0,800000.0,Funded,Faculty Excellence Fund,
224,402,5,2025-06-07,1850000.0,1400000.0,Funded,Arts & Humanities,
225,402,5,2026-01-07,950000.0,850000.0,Funded,Annual Fund,
226,404,5,2024-06-04,375000.0,325000.0,Funded,Arts & Humanities,
227,404,5,2023-11-27,150000.0,125000.0,Funded,Arts & Humanities,
228,404,5,2024-01-23,325000.0,300000.0,Funded,Research Initiative,
229,409,5,2026-02-24,175000.0,0.0,Pending,Faculty Excellence Fund,2026-06-27
230,411,5,2024-08-05,70000.0,55000.0,Funded,Arts & Humanities,
231,411,5,2022-11-04,65000.0,65000.0,Funded,Athletics Fund,
232,417,5,2025-02-14,50000.0,0.0,Withdrawn,Annual Fund,
233,417,5,2026-02-14,60000.0,0.0,Pending,Global Initiatives,2026-09-29
